Version,BinCount,MeasurementType,Trial,EnergyJoules
Original,2,GlobalPerf,1,33.09
Original,2,GlobalPerf,2,37.71
Original,2,GlobalPerf,3,37.6
Original,2,GlobalPerf,4,29.14
Original,2,GlobalPerf,5,30.9
Original,2,LocalPerf,1,29.69
Original,2,LocalPerf,2,37.84
Original,2,LocalPerf,3,34.28
Original,2,LocalPerf,4,33.41
Original,2,LocalPerf,5,31.05
Original,4,GlobalPerf,1,40.26
Original,4,GlobalPerf,2,46.24
Original,4,GlobalPerf,3,46.96
Original,4,GlobalPerf,4,47.44
Original,4,GlobalPerf,5,40.71
Original,4,LocalPerf,1,44.85
Original,4,LocalPerf,2,48.66
Original,4,LocalPerf,3,44.24
Original,4,LocalPerf,4,48.28
Original,4,LocalPerf,5,47.55
Original,8,GlobalPerf,1,74.32
Original,8,GlobalPerf,2,74.38
Original,8,GlobalPerf,3,81.47
Original,8,GlobalPerf,4,69.93
Original,8,GlobalPerf,5,68.3
Original,8,LocalPerf,1,76.92
Original,8,LocalPerf,2,74.46
Original,8,LocalPerf,3,98.84
Original,8,LocalPerf,4,76.96
Original,8,LocalPerf,5,76.97
Original,16,GlobalPerf,1,117.87
Original,16,GlobalPerf,2,125.26
Original,16,GlobalPerf,3,126.15
Original,16,GlobalPerf,4,130.54
Original,16,GlobalPerf,5,124.41
Original,16,LocalPerf,1,125.12
Original,16,LocalPerf,2,123.32
Original,16,LocalPerf,3,122.44
Original,16,LocalPerf,4,120.09
Original,16,LocalPerf,5,126.1
Original,32,GlobalPerf,1,210.86
Original,32,GlobalPerf,2,212.5
Original,32,GlobalPerf,3,213.16
Original,32,GlobalPerf,4,221.52
Original,32,GlobalPerf,5,200.02
Original,32,LocalPerf,1,211.14
Original,32,LocalPerf,2,203.68
Original,32,LocalPerf,3,222.48
Original,32,LocalPerf,4,225.08
Original,32,LocalPerf,5,208.09
Original,64,GlobalPerf,1,439.2
Original,64,GlobalPerf,2,583.76
Original,64,GlobalPerf,3,498.92
Original,64,GlobalPerf,4,388.84
Original,64,GlobalPerf,5,403.74
Original,64,LocalPerf,1,476.67
Original,64,LocalPerf,2,403.8
Original,64,LocalPerf,3,402.85
Original,64,LocalPerf,4,397.4
Original,64,LocalPerf,5,400.55
SIMD,2,GlobalPerf,1,16.63
SIMD,2,GlobalPerf,2,13.98
SIMD,2,GlobalPerf,3,17.89
SIMD,2,GlobalPerf,4,14.86
SIMD,2,GlobalPerf,5,16.12
SIMD,2,LocalPerf,1,18.11
SIMD,2,LocalPerf,2,17.61
SIMD,2,LocalPerf,3,16.52
SIMD,2,LocalPerf,4,16.67
SIMD,2,LocalPerf,5,16.96
SIMD,4,GlobalPerf,1,15.49
SIMD,4,GlobalPerf,2,16.31
SIMD,4,GlobalPerf,3,14.86
SIMD,4,GlobalPerf,4,15.96
SIMD,4,GlobalPerf,5,16.86
SIMD,4,LocalPerf,1,19.04
SIMD,4,LocalPerf,2,19.65
SIMD,4,LocalPerf,3,18.07
SIMD,4,LocalPerf,4,18.52
SIMD,4,LocalPerf,5,18.69
SIMD,8,GlobalPerf,1,18.6
SIMD,8,GlobalPerf,2,15.74
SIMD,8,GlobalPerf,3,14.87
SIMD,8,GlobalPerf,4,18.7
SIMD,8,GlobalPerf,5,16.9
SIMD,8,LocalPerf,1,18.41
SIMD,8,LocalPerf,2,18.21
SIMD,8,LocalPerf,3,21.71
SIMD,8,LocalPerf,4,24.25
SIMD,8,LocalPerf,5,18.33
SIMD,16,GlobalPerf,1,20.42
SIMD,16,GlobalPerf,2,18.18
SIMD,16,GlobalPerf,3,18.57
SIMD,16,GlobalPerf,4,18.96
SIMD,16,GlobalPerf,5,24.03
SIMD,16,LocalPerf,1,20.64
SIMD,16,LocalPerf,2,23.75
SIMD,16,LocalPerf,3,20.83
SIMD,16,LocalPerf,4,20.56
SIMD,16,LocalPerf,5,25.28
SIMD,32,GlobalPerf,1,23.72
SIMD,32,GlobalPerf,2,27.58
SIMD,32,GlobalPerf,3,28.62
SIMD,32,GlobalPerf,4,25.57
SIMD,32,GlobalPerf,5,24.66
SIMD,32,LocalPerf,1,30.14
SIMD,32,LocalPerf,2,29.88
SIMD,32,LocalPerf,3,29.9
SIMD,32,LocalPerf,4,34.25
SIMD,32,LocalPerf,5,29.99
SIMD,64,GlobalPerf,1,37.44
SIMD,64,GlobalPerf,2,38.19
SIMD,64,GlobalPerf,3,51.49
SIMD,64,GlobalPerf,4,39.0
SIMD,64,GlobalPerf,5,43.17
SIMD,64,LocalPerf,1,41.42
SIMD,64,LocalPerf,2,40.29
SIMD,64,LocalPerf,3,45.72
SIMD,64,LocalPerf,4,41.6
SIMD,64,LocalPerf,5,43.93
